Channel,Array Name,Array Row,Array Column
1,2,2,1
2,2,1,1
3,2,3,1
4,2,4,1
5,2,6,1
6,2,7,1
7,2,5,1
8,2,3,2
9,2,8,1
10,2,7,2
11,2,4,2
12,2,8,2
13,2,5,2
14,2,4,3
15,2,2,2
16,2,5,3
17,2,1,2
18,2,2,4
19,2,6,2
20,2,6,3
21,2,3,3
22,2,3,4
23,2,1,3
24,2,4,4
25,2,2,3
26,2,5,4
27,2,7,3
28,2,6,4
29,2,8,3
30,2,7,4
31,2,1,4
32,0,8,4
33,1,1,5
34,1,7,5
35,1,2,5
36,1,8,5
37,1,3,5
38,1,1,6
39,1,4,5
40,1,2,6
41,1,5,5
42,1,7,6
43,1,3,6
44,1,8,6
45,1,6,5
46,1,4,7
47,1,4,6
48,1,6,6
49,1,5,6
50,1,3,7
51,1,1,7
52,1,8,7
53,1,2,7
54,1,7,7
55,1,6,7
56,1,5,7
57,1,2,8
58,1,1,8
59,1,5,8
60,1,4,8
61,1,7,8
62,1,3,8
63,1,8,8
64,1,6,8
65,1,1,1
66,1,1,2
67,1,2,1
68,1,2,2
69,1,3,1
70,1,3,2
71,1,4,1
72,1,4,2
73,1,5,1
74,1,5,2
75,1,6,1
76,1,6,2
77,1,7,1
78,1,7,2
79,1,8,1
80,1,8,2
81,1,1,3
82,1,2,3
83,1,4,3
84,1,3,3
85,1,6,3
86,1,5,3
87,1,7,3
88,1,8,3
89,1,1,4
90,1,2,4
91,1,3,4
92,1,4,4
93,1,5,4
94,1,6,4
95,1,8,4
96,1,7,4
