channel,magnitude
0.0,0.01365672987968082
1.0,0.00470191048283202
2.0,0.022755349223744083
3.0,0.01656640068147279
4.0,0.007617483415251504
5.0,0.013274748377558643
6.0,0.018882817378663028
7.0,0.028133014202134682
8.0,0.015343028739477077
9.0,0.00805103790850208
10.0,0.012945899064038221
11.0,0.006733753068635916
12.0,0.007632894629229256
13.0,0.005149986233828757
14.0,0.0116963110967428
15.0,0.0051561801390421795
16.0,0.008219818642872793
17.0,0.0031521934387357207
18.0,0.007441796303669612
19.0,0.0050647404177299295
20.0,0.004532804507024233
21.0,0.0035674428364360104
22.0,0.005679734322343363
23.0,0.003520572430734602
24.0,0.006120675782413914
25.0,0.0037931980695349947
26.0,0.005606951192193485
27.0,0.004037188434788486
28.0,0.005321560252776955
29.0,0.004081921988950319
30.0,0.0033311883763337776
31.0,0.006218224993705151
32.0,0.02963738166109988
33.0,0.006044575331118305
34.0,0.019926579105769626
35.0,0.007674909598825843
36.0,0.016018638124424375
37.0,0.020133427257747784
38.0,0.008859655923142805
39.0,0.01667850487372551
40.0,0.011834743232268206
41.0,0.005651851617861522
42.0,0.01054413422820354
43.0,0.006447974917041809
44.0,0.006405554569387081
45.0,0.008246604253737692
46.0,0.008877122219549026
47.0,0.0069147106442299195
48.0,0.0077537773750029895
49.0,0.00989493083878005
50.0,0.015567837858982931
51.0,0.005652427731839378
52.0,0.01023321708468792
53.0,0.005528707803801122
54.0,0.006083666550265532
55.0,0.006879323212647707
56.0,0.012019303866447416
57.0,0.016969248687502853
58.0,0.007675878183674482
59.0,0.006788477791124944
60.0,0.005831473917162495
61.0,0.009205690914390378
62.0,0.006411669392999941
63.0,0.00568220402888143
64.0,0.0249768521300073
65.0,0.0035934068599474435
66.0,0.02301220353808873
67.0,0.029473594578884554
68.0,0.0182048515249873
69.0,0.005552992118311684
70.0,0.019897125035837522
71.0,0.03218966801193139
72.0,0.021123046077917037
73.0,0.017504758551877483
74.0,0.025185424613033976
75.0,0.015911195045849317
76.0,0.004217529186062828
77.0,0.018380993462834137
78.0,0.018983983224353008
79.0,0.015212183840468326
80.0,0.017006258042204743
81.0,0.036926179249923634
82.0,0.0165822268026244
83.0,0.021046259299068112
84.0,0.014274049278140112
85.0,0.01123384750968568
86.0,0.01210544119656312
87.0,0.010364239991709785
88.0,0.008259495642019651
89.0,0.02993067143265744
90.0,0.020103586569709436
91.0,0.02133899924091233
92.0,0.005640716937922796
93.0,0.011971857289859777
94.0,0.005901915285230907
95.0,0.007059397553303191
